id,car_make_id,title,deleted_at
334,39,Seven,
335,40,Benni,
336,41,Alsvin V7,
337,41,BenBen Mini,
338,41,CM-8,
339,41,CS35,
340,41,CS35PLUS,
341,41,CS55,
342,41,CS75,
343,41,CX20,
344,41,Eado,
345,41,Raeton,
346,41,Z-Shine,
347,42,Flying,
348,42,SUV (CS6),
349,43,Ideal,
350,44,Amulet,
351,44,Arrizo 3,
352,44,Arrizo 7,
353,44,B13,
354,44,Bonus,
355,44,CrossEastar,
356,44,E5,
357,44,Eastar,
358,44,Fora,
359,44,IndiS,
360,44,Karry,
361,44,Kimo,
362,44,M11,
363,44,Oriental Son,
364,44,QQ,
365,44,QQ6,
366,44,QQme,
367,44,Sweet (QQ),
368,44,Tiggo,
369,44,Tiggo 2,
370,44,Tiggo 3,
371,44,Tiggo 4,
372,44,Tiggo 5,
373,44,Tiggo 7,
374,44,Tiggo 7 Pro,
375,44,Tiggo 8,
376,44,Very,
377,44,Windcloud,
378,45,TXL,
379,46,Agile,
380,46,Alero,
381,46,Apache,
382,46,Astra,
383,46,Astro,
384,46,Avalanche,
385,46,Aveo,
386,46,Beat,
387,46,Beretta,
388,46,Blazer,
389,46,C/K,
390,46,Camaro,
391,46,Caprice,
392,46,Captiva,
393,46,Cavalier,
394,46,Celebrity,
395,46,Celta,
396,46,Chevelle,
397,46,Chevette,
398,46,Citation,
399,46,Cobalt,
400,46,Colorado,
401,46,Corsa,
402,46,Corsica,
403,46,Corvair,
404,46,Corvette,
405,46,Cruze,
406,46,CSV CR8,
407,46,D20,
408,46,Deluxe,
409,46,El Camino,
410,46,Enjoy,
411,46,Epica,
412,46,Equinox,
413,46,Evanda,
414,46,Express,
415,46,Forester,
416,46,Grand Vitara,
417,46,HHR,
418,46,Impala,
419,46,Ipanema,
420,46,Jimny,
421,46,Kadett,
422,46,Kalos,
423,46,Kommando,
424,46,Lacetti,
425,46,Lanos,
426,46,Lova,
427,46,Lumina,
428,46,Lumina APV,
429,46,LUV D-MAX,
430,46,Malibu,
431,46,Master,
432,46,Matiz,
433,46,Meriva,
434,46,Montana,
435,46,Monte Carlo,
436,46,Monza,
437,46,MW,
438,46,N200,
439,46,N300,
440,46,Nexia,
441,46,Niva,
442,46,Nova,
443,46,Nubira,
444,46,Omega,
445,46,Onix,
446,46,Optra,
447,46,Orlando,
448,46,Prisma,
449,46,Prizm,
450,46,Rezzo,
451,46,S-10,
452,46,Sail,
453,46,Silverado,
454,46,Sonic,
455,46,Sonora,
456,46,Spark,
457,46,Spin,
458,46,SS,
459,46,SSR,
460,46,Starcraft,
461,46,Suburban,
462,46,Tacuma,
463,46,Tahoe,
464,46,Tavera,
465,46,Tornado,
466,46,Tracker,
467,46,TrailBlazer,
468,46,Trans Sport,
469,46,Traverse,
470,46,Uplander,
471,46,Utility,
472,46,Van,
473,46,Vectra,
474,46,Vega,
475,46,Venture,
476,46,Vitara,
477,46,Viva,
478,46,Vivant,
479,46,Volt,
480,46,Zafira,
481,47,300 Letter Series,
482,47,300C,
483,47,300M,
484,47,Aspen,
485,47,Cirrus,
486,47,Concorde,
487,47,Cordoba,
488,47,Crossfire,
489,47,Daytona,
490,47,ES,
491,47,Fifth Avenue,
492,47,Imperial,
493,47,Intrepid,
494,47,LeBaron,
495,47,LHS,
496,47,Neon,
497,47,New Yorker,
498,47,Newport,
499,47,Pacifica,
500,47,Prowler,
501,47,PT Cruiser,
502,47,Sebring,
503,47,TC by Maserati,
504,47,Town & Country,
505,47,Town and Country,
506,47,Vision,
507,47,Voyager,
508,48,2 CV,
509,48,AX,
510,48,Berlingo,
511,48,BX,
512,48,C-Crosser,
513,48,C-Elysee,
514,48,C-Triomphe,
515,48,C1,
516,48,C2,
517,48,C3,
518,48,C3 AirCross,
519,48,C3 Picasso,
520,48,C4,
521,48,C4 AirCross,
522,48,C4 Cactus,
523,48,C4 Picasso,
524,48,C4 Spacetourer,
525,48,C5,
526,48,C5 AirCross,
527,48,C6,
528,48,C8,
529,48,CX,
530,48,DS,
531,48,DS3,
532,48,DS4,
533,48,DS5,
534,48,Evasion,
535,48,Jumpy,
536,48,Nemo,
537,48,Saxo,
538,48,SpaceTourer,
539,48,Visa,
540,48,Xantia,
541,48,XM,
542,48,Xsara,
543,48,Xsara Picasso,
544,48,ZX,
545,49,V16T,
546,50,T Rex,
547,50,T-Rex,
548,51,T98,
549,52,L-29,
550,53,1310,
551,53,1325,
552,53,1325 Liberta,
553,53,Dokker,
554,53,Duster,
555,53,Logan,
556,53,Pick-Up,
557,53,Sandero,
558,53,Solenza,
559,53,SuperNova,
560,54,City Leading,
561,54,Shuttle,
562,54,Smoothing,
563,55,Alpheon,
564,55,Arcadia,
565,55,Chairman,
566,55,Damas,
567,55,Espero,
568,55,G2X,
569,55,Gentra,
570,55,Korando,
571,55,Lacetti Premiere,
572,55,Leganza,
573,55,LeMans,
574,55,Magnus,
575,55,Matiz Creative,
576,55,Musso,
577,55,Prince,
578,55,Racer,
579,55,Royale,
580,55,Sens,
581,55,Tico,
582,55,Tosca,
583,55,Winstorm,
584,56,Altis,
585,56,Applause,
586,56,Atrai,
587,56,Be-go,
588,56,Bee,
589,56,Boon,
590,56,Boon Luminas,
591,56,Cast,
592,56,Ceria,
593,56,Charade,
594,56,Charmant,
595,56,Coo,
596,56,Copen,
597,56,Cuore,
598,56,Delta Wagon,
599,56,Esse,
600,56,Extol,
601,56,Fellow,
602,56,Feroza,
603,56,Gran Move,
604,56,Hijet,
605,56,Leeza,
606,56,Materia,
607,56,MAX,
608,56,Mebius,
609,56,Midget,
610,56,Mira,
611,56,Mira e:S,
612,56,Mira Gino,
613,56,Move,
614,56,Move Canbus,
615,56,Move Conte,
616,56,Naked,
617,56,Opti,
618,56,Rocky,
619,56,Rugger,
620,56,Sirion,
621,56,Sonica,
622,56,Storia,
623,56,Tanto,
624,56,Terios,
625,56,Thor,
626,56,Trevis,
627,56,Wake,
628,56,Xenia,
629,56,YRV,
630,57,SP250,
631,57,Super Eight,
632,58,Stradale,
633,59,Fun,
634,60,240Z,
635,60,GO+,
636,60,Laurel,
637,60,mi-Do,
638,60,on-DO,
639,60,Stanza,
640,60,Urvan,
641,61,Bigua,
642,61,Guara,
643,61,Longchamp,
644,61,Mangusta,
645,62,Zephyr,
646,63,D6,
647,64,DMC-12,
648,65,Antelope,
649,65,Aurora,
650,65,Cowboy,
651,65,Land Crown,
652,65,Plutus,
653,65,Saladin,
654,66,Custom,
655,66,Firedome,
656,66,Fireflite,
657,67,V21,
658,68,3=6,
659,69,600,
660,69,Aries,
661,69,Attitude,
662,69,Avenger,
663,69,Caliber,
664,69,Caravan,
665,69,Challenger,
666,69,Charger,
667,69,Charger Daytona,
668,69,Colt,
669,69,Custom Royal,
670,69,D/W Series,
671,69,D8,
672,69,Dakota,
673,69,Dart,
674,69,Durango,
675,69,Dynasty,
676,69,Journey,
677,69,Lancer,
678,69,Magnum,
679,69,Mayfair,
680,69,Monaco,
681,69,Nitro,
682,69,Omni,
683,69,Polara,
684,69,Raider,
685,69,Ram,
686,69,Ramcharger,
687,69,Shadow,
688,69,Spirit,
689,69,Stealth,
690,69,Stratus,
691,69,Viper,
692,69,WC series,
693,70,370,
694,70,580,
695,70,A30,
696,70,A9,
697,70,AX7,
698,70,H30,
699,70,H30 Cross,
700,70,Oting,
701,70,Rich,
702,70,S30,
703,71,Orion,
704,72,D8 Cosworth,
705,72,D8 GT,
706,72,D8 GTO,
707,72,D8 Zetec,
708,73,3,
709,73,4,
710,73,7,
711,73,7 Crossback,
712,74,H3,
713,74,H5,
714,75,Premier,
715,75,Summit,
716,75,Talon,
717,75,Vista,
718,76,Series IV,
719,76,Series V,
720,77,6371,
721,77,Audi 100,
722,77,Audi A6,
723,77,Bestune T99,
724,77,Besturn B30,
725,77,Besturn B50,
726,77,Besturn B70,
727,77,Besturn X40,
728,77,Besturn X80,
729,77,D60,
730,77,Jinn,
731,77,Oley,
732,77,S80,
733,77,V2,
734,77,Vita,
735,77,Volkswagen Bora,
736,77,Volkswagen City Golf,
737,77,Volkswagen Jetta,
738,78,250 GTO,
739,78,288 GTO,
740,78,308,
741,78,348,
742,78,360,
743,78,400,
744,78,412,
745,78,456,
746,78,458,
747,78,488,
748,78,512 BB,
749,78,512 M,
750,78,512 TR,
751,78,550,
752,78,575,
753,78,575M,
754,78,599,
755,78,612,
756,78,612 Scaglietti,
757,78,812,
758,78,812 Superfast,
759,78,California,
760,78,Dino 206 GT,
761,78,Dino 208/308 GT4,
762,78,Dino 246 GT,
763,78,Enzo,
764,78,F12berlinetta,
765,78,F355,
766,78,F40,
767,78,F430,
768,78,F50,
769,78,F8 Tributo,
770,78,FF,
771,78,FXX K,
772,78,GTC4Lusso,
773,78,LaFerrari,
774,78,Mondial,
775,78,Monza SP,
776,78,Portofino,
777,78,Roma,
778,78,SF90 Stradale,
779,78,Testarossa,
780,79,124 Spider,
781,79,124 Sport Spider,
782,79,125,
783,79,126,
784,79,500,
785,79,500L,
786,79,500X,
787,79,508,
788,79,900T,
789,79,Albea,
790,79,Argenta,
791,79,Barchetta,
792,79,Brava,
793,79,Bravo,
794,79,Cinquecento,
795,79,Croma,
796,79,Doblo,
797,79,Fiorino,
798,79,Freemont,
799,79,Fullback,
800,79,Grande Punto,
801,79,Idea,
802,79,Linea,
803,79,Marea,
804,79,Multipla,
805,79,Palio,
806,79,Panda,
807,79,Punto,
808,79,Qubo,
809,79,Regata,
810,79,Ritmo,
811,79,Scudo,
812,79,Sedici,
813,79,Seicento,
814,79,Siena,
815,79,Stilo,
816,79,Strada,
817,79,Tempra,
818,79,Tipo,
819,79,Ulysse,
820,79,Uno,
821,79,X 1/9,
822,80,Karma,
823,81,F,
824,82,Aerostar,
825,82,Aspire,
826,82,Bronco,
827,82,Bronco Sport,
828,82,Bronco-II,
829,82,C-Max,
830,82,Contour,
831,82,Cortina,
832,82,Cougar,
833,82,Crown Victoria,
834,82,E-series,
835,82,Econoline,
836,82,EcoSport,
837,82,Edge,
838,82,Escape,
839,82,Escort,
840,82,Escort (North America),
841,82,Everest,
842,82,Excursion,
843,82,Expedition,
844,82,Explorer,
845,82,Explorer Sport Trac,
846,82,F-150,
847,82,F-Series,
848,82,Fairlane,
849,82,Fairmont,
850,82,Falcon,
851,82,Festiva,
852,82,Fiesta,
853,82,Fiesta ST,
854,82,Five Hundred,
855,82,Flex,
856,82,Focus,
857,82,Focus (North America),
858,82,Focus ST,
859,82,Freda,
860,82,Freestyle,
861,82,Fusion,
